ARD,ard@hyderabad.bits-hyderabad.ac.in
ARCD,arcd@hyderabad.bits-pilani.ac.in
Placement,placement@hyderabad.bits-pilani.ac.in
WILP,wilp@hyderabad.bits-pilani.ac.in
SRCD,srcd@hyderabad.bits-pilani.ac.in
ESD,esd@hyderabad.bits-pilani.ac.in
GAD,gad@hyderabad.bits-pilani.ac.in
HR,hr@hyderabad.bits-pilani.ac.in
Accounts,accounts@hyderabad.bits-pilani.ac.in
Admissions,admissions@hyderabad.bits-pilani.ac.in
Civil Dept,civil@hyderabad.bits-pilani.ac.in
CHE Dept,che@hyderabad.bits-pilani.ac.in
CHEM Dept,chem@hyderabad.bits-pilani.ac.in
CSIS,hod-csis@hyderabad.bits-pilani.ac.in
CCIT,ccit@hyderabad.bits-pilani.ac.in
ECO,eco@hyderabad.bits-pilani.ac.in
EEE,eee@hyderabad.bits-pilani.ac.in
MATH,math@hyderabad.bits-pilani.ac.in
Mechanical,mech.dept@hyderabad.bits-pilani.ac.in
PHARMA,pharma@hyderabad.bits-pilani.ac.in
PHY,phy@hyderabad.bits-pilani.ac.in
IPCD,ipcd@hyderabad.bits-pilani.ac.in
CPU,cpu@hyderabad.bits-pilani.ac.in
STORES,stores@hyderabad.bits-pilani.ac.in
BIO,bio.office@hyderabad.bits-pilani.ac.in
